datetime,open,high,low,close,volume,symbol,exchange,interval,source
2023-01-01 01:00:00,4.31,4.39,4.27,4.37,150619.22,DOTUSD,binance,1D,tradingview
2023-01-02 01:00:00,4.37,4.53,4.32,4.49,362995.57,DOTUSD,binance,1D,tradingview
2023-01-03 01:00:00,4.49,4.54,4.46,4.53,282925.08,DOTUSD,binance,1D,tradingview
2023-01-04 01:00:00,4.53,4.69,4.52,4.63,384265.61,DOTUSD,binance,1D,tradingview
2023-01-05 01:00:00,4.63,4.65,4.55,4.62,271938.77,DOTUSD,binance,1D,tradingview
2023-01-06 01:00:00,4.62,4.71,4.55,4.69,376688.09,DOTUSD,binance,1D,tradingview
2023-01-07 01:00:00,4.68,4.71,4.64,4.67,137972.4,DOTUSD,binance,1D,tradingview
2023-01-08 01:00:00,4.67,4.82,4.6,4.82,282182.16,DOTUSD,binance,1D,tradingview
2023-01-09 01:00:00,4.83,5.08,4.8,4.89,681542.93,DOTUSD,binance,1D,tradingview
2023-01-10 01:00:00,4.89,4.97,4.83,4.92,359072.44,DOTUSD,binance,1D,tradingview
2023-01-11 01:00:00,4.92,5.14,4.83,5.13,432659.84,DOTUSD,binance,1D,tradingview
2023-01-12 01:00:00,5.14,5.26,5.01,5.23,614287.59,DOTUSD,binance,1D,tradingview
2023-01-13 01:00:00,5.24,5.44,5.16,5.4,550795.94,DOTUSD,binance,1D,tradingview
2023-01-14 01:00:00,5.4,6.51,5.39,6.03,2633291.53,DOTUSD,binance,1D,tradingview
2023-01-15 01:00:00,6.03,6.06,5.77,5.93,1326003.63,DOTUSD,binance,1D,tradingview
2023-01-16 01:00:00,5.93,6.09,5.62,5.81,1029044.27,DOTUSD,binance,1D,tradingview
2023-01-17 01:00:00,5.81,6.2,5.72,5.96,1199128.7,DOTUSD,binance,1D,tradingview
2023-01-18 01:00:00,5.96,6.22,5.59,5.65,1225014.15,DOTUSD,binance,1D,tradingview
2023-01-19 01:00:00,5.66,5.84,5.65,5.8,385900.02,DOTUSD,binance,1D,tradingview
2023-01-20 01:00:00,5.8,6.29,5.75,6.25,560338.31,DOTUSD,binance,1D,tradingview
2023-01-21 01:00:00,6.26,6.46,6.03,6.24,1139658.08,DOTUSD,binance,1D,tradingview
2023-01-22 01:00:00,6.24,6.46,6.07,6.21,589282.55,DOTUSD,binance,1D,tradingview
2023-01-23 01:00:00,6.21,6.82,6.2,6.56,1575202.82,DOTUSD,binance,1D,tradingview
2023-01-24 01:00:00,6.56,6.71,6.11,6.19,842230.87,DOTUSD,binance,1D,tradingview
2023-01-25 01:00:00,6.19,6.56,6.02,6.4,988161.85,DOTUSD,binance,1D,tradingview
2023-01-26 01:00:00,6.4,6.58,6.31,6.47,742522.21,DOTUSD,binance,1D,tradingview
2023-01-27 01:00:00,6.48,6.63,6.3,6.58,670672.62,DOTUSD,binance,1D,tradingview
2023-01-28 01:00:00,6.58,6.66,6.33,6.4,499269.1,DOTUSD,binance,1D,tradingview
2023-01-29 01:00:00,6.4,6.7,6.33,6.61,627714.5,DOTUSD,binance,1D,tradingview
2023-01-30 01:00:00,6.61,6.65,6.03,6.19,727131.69,DOTUSD,binance,1D,tradingview
2023-01-31 01:00:00,6.19,6.32,6.15,6.26,476425.04,DOTUSD,binance,1D,tradingview
